lemma	source
aflojar|VERB	flojo|ADJ
aflorado|ADJ	aflorar|VERB
afloramiento|NOUN|Masc	aflorar|VERB
aflorar|VERB	flor|NOUN|Fem
afluencia|NOUN|Fem	afluir|VERB
afluente|NOUN|Masc	afluir|VERB
aforador|ADJ	aforar|VERB
aforado|ADJ	aforar|VERB
aforamiento|NOUN|Masc	aforar|VERB
aforo|NOUN|Masc	aforar|VERB
afortunado|ADJ	fortuna|NOUN|Fem
afrancesamiento|NOUN|Masc	afrancesar|VERB
africanismo|NOUN|Masc	africano|ADJ
africanista|NOUN|Masc	africano|NOUN|Masc
afrontado|ADJ	afrontar|VERB
afrontamiento|NOUN|Masc	afrontar|VERB
afrontar|VERB	frente|NOUN|Fem
afrutado|ADJ	fruta|NOUN|Fem
agachado|ADJ	agachar|VERB
agarrada|NOUN|Fem	agarrar|VERB
agarrado|ADJ	agarrar|VERB
agarre|NOUN|Masc	agarrar|VERB
agarrotamiento|NOUN|Masc	agarrotar|VERB
agarrón|NOUN|Masc	agarrar|VERB
agasajado|ADJ	agasajar|VERB
agasajo|NOUN|Masc	agasajar|VERB
agencia|NOUN|Fem	agente|NOUN|Masc
agente|NOUN|Fem	agir|VERB
agilidad|NOUN|Fem	ágil|ADJ
agilización|NOUN|Fem	agilizar|VERB
agilizado|ADJ	agilizar|VERB
agilizar|VERB	ágil|ADJ
agitación|NOUN|Fem	agitar|VERB
agitadora|NOUN|Fem	agitador|NOUN|Masc
agitador|ADJ	agitar|VERB
agitador|NOUN|Masc	agitar|VERB
agitado|ADJ	agitar|VERB
aglomeración|NOUN|Fem	aglomerar|VERB
aglutinador|ADJ	aglutinar|VERB
aglutinado|ADJ	aglutinar|VERB
aglutinamiento|NOUN|Masc	aglutinar|VERB
aglutinante|NOUN|Masc	aglutinar|VERB
agobiador|ADJ	agobiar|VERB
agobiado|ADJ	agobiar|VERB
agobiante|ADJ	agobiar|VERB
agobio|NOUN|Masc	agobiar|VERB
